"filename", "language", "Docker", "Java Properties", "Java", "XML", "Batch", "comment", "blank", "total"
"c:\Users\Brandbold\Documents\brandbold-infraestructure\spring-microservice\Dockerfile", "Docker", 5, 0, 0, 0, 0, 0, 4, 9
"c:\Users\Brandbold\Documents\brandbold-infraestructure\spring-microservice\mediahub\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 3, 0, 0, 0, 16, 1, 20
"c:\Users\Brandbold\Documents\brandbold-infraestructure\spring-microservice\mediahub\mvnw.cmd", "Batch", 0, 0, 0, 0, 108, 26, 16, 150
"c:\Users\Brandbold\Documents\brandbold-infraestructure\spring-microservice\mediahub\pom.xml", "XML", 0, 0, 0, 67, 0, 2, 4, 73
"c:\Users\Brandbold\Documents\brandbold-infraestructure\spring-microservice\mediahub\src\main\java\com\streamify\mediahub\SmartVideoHubApplication.java", "Java", 0, 0, 9, 0, 0, 0, 5, 14
"c:\Users\Brandbold\Documents\brandbold-infraestructure\spring-microservice\mediahub\src\main\java\com\streamify\mediahub\controllers\MediaController.java", "Java", 0, 0, 112, 0, 0, 0, 18, 130
"c:\Users\Brandbold\Documents\brandbold-infraestructure\spring-microservice\mediahub\src\main\java\com\streamify\mediahub\dto\DeleteFilesDTO.java", "Java", 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\Brandbold\Documents\brandbold-infraestructure\spring-microservice\mediahub\src\main\java\com\streamify\mediahub\dto\ResponseErrorDTO.java", "Java", 0, 0, 8, 0, 0, 0, 3, 11
"c:\Users\Brandbold\Documents\brandbold-infraestructure\spring-microservice\mediahub\src\main\java\com\streamify\mediahub\dto\StoredFilePathDTO.java", "Java", 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\Brandbold\Documents\brandbold-infraestructure\spring-microservice\mediahub\src\main\java\com\streamify\mediahub\services\MediaService.java", "Java", 0, 0, 170, 0, 0, 0, 28, 198
"c:\Users\Brandbold\Documents\brandbold-infraestructure\spring-microservice\mediahub\src\main\java\com\streamify\mediahub\services\QueueService.java", "Java", 0, 0, 28, 0, 0, 0, 10, 38
"c:\Users\Brandbold\Documents\brandbold-infraestructure\spring-microservice\mediahub\src\main\resources\application.properties", "Java Properties", 0, 11, 0, 0, 0, 0, 0, 11
"c:\Users\Brandbold\Documents\brandbold-infraestructure\spring-microservice\mediahub\src\test\java\com\streamify\mediahub\SmartVideoHubApplicationTests.java", "Java", 0, 0, 9, 0, 0, 0, 5, 14
"Total", "-", 5, 14, 348, 67, 108, 44, 98, 684